Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
9075,3182,0,7389,212,1552,0
9100,3182,0,7407,218,1552,0
9125,3182,0,7427,218,1552,0
9150,3182,0,7447,218,1552,0
9175,3182,0,7466,220,1552,0
9200,3182,0,7483,220,1552,0
9225,3182,0,7501,220,1552,0
9250,3182,0,7521,222,1552,0
9275,3182,0,7541,222,1552,0
9300,3182,0,7560,222,1609,0
9325,3182,0,7581,226,1610,0
9350,3182,0,7600,226,1610,0
9375,3182,0,7617,226,1610,0
9400,3182,0,7639,234,1610,0
9425,3182,0,7656,234,1610,0
9450,3182,0,7677,234,1610,0
9475,3182,0,7697,236,1610,0
9500,3182,0,7716,236,1610,0
9525,3182,0,7732,236,1610,0
9550,3182,0,7746,238,1610,0
9575,3182,0,7766,238,1610,0
9600,3182,0,7783,238,1610,0
9625,3182,0,7800,244,1610,0
9650,3182,0,7821,244,1610,0
9675,3182,0,7837,244,1610,0
9700,3182,0,7858,252,1610,0
9725,3296,0,7873,252,1610,0
9750,3296,0,7892,252,1610,0
9775,3296,0,7908,254,1610,0
9800,3296,0,7925,254,1610,0
9825,3296,0,7946,254,1610,0
9850,3296,0,7965,256,1610,0
9875,3296,0,7981,256,1610,0
9900,3296,0,7997,256,1668,0
9925,3296,0,8017,258,1668,0
9950,3296,0,8037,258,1668,0
9975,3296,0,8056,258,1668,0
10000,3296,0,8076,262,1668,0
10025,3296,0,8093,262,1668,0
10050,3296,0,8112,262,1668,0
10075,3296,0,8131,264,1668,0
10100,3296,0,8146,264,1668,0
10125,3296,0,8165,264,1668,0
10150,3296,0,8187,266,1668,0
10175,3296,0,8204,266,1668,0
10200,3296,0,8224,266,1668,0
10225,3296,0,8242,268,1668,0
10250,3296,0,8259,268,1668,0
10275,3296,0,8279,268,1668,0
10300,3296,0,8298,270,1668,0
10325,3296,0,8314,270,1726,0
10350,3296,0,8330,270,1726,0
10375,3296,0,8346,282,1726,0
10400,3296,0,8362,282,1726,0
10425,3296,0,8383,282,1726,0
10450,3296,0,8403,284,1726,0
10475,3296,0,8420,284,1726,0
10500,3296,0,8436,284,1726,0
10525,3296,0,8455,288,1726,0
10550,3296,0,8471,288,1726,0
10575,3296,0,8489,288,1726,0
10600,3410,0,8502,302,1726,0
10625,3410,0,8518,302,1726,0
10650,3410,0,8539,302,1726,0
10675,3410,0,8556,304,1726,0
10700,3410,0,8576,304,1726,0
10725,3410,0,8593,304,1726,0
10750,3410,0,8608,312,1726,0
10775,3410,0,8627,312,1784,0
10800,3410,0,8643,312,1784,0
10825,3410,0,8661,316,1784,0
10850,3410,0,8677,316,1784,0
10875,3410,0,8696,316,1784,0
10900,3410,0,8715,318,1784,0
10925,3410,0,8732,318,1784,0
10950,3410,0,8747,318,1784,0
10975,3410,0,8766,324,1784,0
11000,3410,0,8780,324,1784,0
11025,3410,0,8800,324,1784,0
11050,3410,0,8816,326,1784,0
11075,3410,0,8836,326,1784,0
11100,3410,0,8852,326,1784,0
11125,3410,0,8873,336,1784,0
11150,3410,0,8891,336,1784,0
11175,3410,0,8910,336,1784,0
11200,3410,0,8926,338,1784,0
11225,3410,0,8943,338,1784,0
11250,3410,0,8961,338,1784,0
11275,3410,0,8978,342,1784,0
11300,3410,0,8991,342,1784,0
11325,3410,0,9008,342,1784,0
11350,3410,0,9025,344,1784,0
11375,3410,0,9038,344,1784,0
11400,3410,0,9055,344,1784,0
11425,3410,0,9071,346,1842,0
11450,3410,0,9087,346,1842,0
11475,3410,0,9100,346,1842,0
11500,3410,0,9120,348,1842,0
11525,3410,0,9135,348,1842,0
11550,3410,0,9151,348,1842,0
11575,3410,0,9166,350,1842,0
11600,3410,0,9182,350,1842,0
11625,3410,0,9197,350,1842,0
11650,3410,0,9212,352,1842,0
11675,3410,0,9228,352,1842,0
11700,3410,0,9242,352,1842,0
11725,3410,0,9259,354,1842,0
11750,3524,0,9278,354,1842,0
11775,3524,0,9291,354,1842,0
11800,3524,0,9309,356,1842,0
11825,3524,0,9324,356,1842,0
11850,3524,0,9338,356,1842,0
11875,3524,0,9356,360,1842,0
11900,3524,0,9368,360,1900,0
11925,3524,0,9386,360,1900,0
11950,3524,0,9403,364,1900,0
11975,3524,0,9420,364,1900,0
12000,3524,0,9436,364,1900,0
12025,3524,0,9452,366,1900,0
12050,3524,0,9471,366,1900,0
12075,3524,0,9488,366,1900,0
12100,3524,0,9507,372,1900,0
12125,3524,0,9523,372,1900,0
12150,3524,0,9539,372,1900,0
12175,3524,0,9554,374,1900,0
12200,3524,0,9571,374,1900,0
