Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced,DyClu
8100,1680,1195,756,935,1995,1076,343
8125,1683,1199,757,941,2001,1081,343
8150,1690,1206,761,951,2011,1085,344
8175,1697,1212,765,956,2020,1089,344
8200,1704,1217,767,963,2027,1095,345
8225,1709,1220,770,967,2036,1099,345
8250,1716,1229,773,975,2047,1105,346
8275,1722,1234,777,977,2055,1106,348
8300,1727,1238,778,978,2061,1109,348
8325,1733,1244,781,985,2070,1112,349
8350,1738,1246,784,988,2074,1114,349
8375,1743,1250,786,993,2082,1120,351
8400,1748,1255,789,1001,2091,1124,352
8425,1755,1261,793,1005,2098,1128,352
8450,1757,1267,800,1011,2109,1135,352
8475,1764,1273,804,1016,2114,1138,353
8500,1770,1275,805,1019,2119,1141,355
8525,1778,1280,809,1029,2128,1145,355
8550,1784,1286,812,1033,2135,1149,356
8575,1791,1292,815,1039,2144,1153,358
8600,1793,1297,821,1045,2153,1159,358
8625,1800,1302,825,1047,2162,1165,359
8650,1807,1306,828,1053,2170,1173,359
8675,1814,1312,832,1059,2176,1178,360
8700,1822,1321,838,1065,2183,1183,360
8725,1828,1328,841,1071,2192,1191,360
8750,1835,1337,847,1080,2204,1201,364
8775,1841,1340,854,1085,2214,1208,365
8800,1845,1352,858,1092,2228,1215,365
8825,1851,1357,859,1095,2235,1217,365
8850,1862,1363,861,1098,2241,1220,365
8875,1868,1369,864,1104,2251,1227,365
8900,1872,1380,870,1111,2260,1236,365
8925,1878,1385,873,1117,2268,1242,367
8950,1883,1389,878,1124,2273,1246,368
8975,1894,1398,883,1134,2283,1255,370
9000,1900,1401,887,1136,2291,1259,371
9025,1904,1405,888,1142,2299,1261,374
9050,1909,1409,892,1146,2306,1265,374
9075,1914,1415,896,1152,2316,1270,374
9100,1920,1421,900,1156,2324,1274,374
9125,1928,1430,904,1164,2332,1280,374
9150,1939,1437,909,1172,2341,1287,374
9175,1942,1440,912,1178,2347,1289,376
9200,1948,1446,915,1183,2354,1297,379
9225,1953,1451,917,1190,2361,1301,381
9250,1959,1454,919,1196,2368,1303,381
9275,1964,1458,923,1205,2375,1306,381
9300,1968,1467,929,1213,2384,1313,382
9325,1972,1471,931,1216,2392,1316,382
9350,1978,1475,933,1218,2398,1317,383
9375,1981,1480,935,1223,2404,1322,383
9400,1984,1485,936,1225,2408,1324,385
9425,1992,1491,938,1234,2416,1330,385
9450,1995,1499,941,1239,2425,1336,385
9475,1999,1505,945,1245,2429,1339,385
9500,2003,1511,951,1254,2439,1345,385
9525,2012,1520,958,1265,2450,1351,385
9550,2017,1525,964,1270,2455,1358,385
9575,2018,1530,967,1274,2458,1363,386
9600,2028,1541,973,1285,2472,1372,388
9625,2034,1544,974,1288,2476,1372,391
9650,2041,1551,980,1297,2485,1378,391
9675,2046,1560,986,1304,2493,1383,394
9700,2053,1567,993,1309,2502,1387,394
9725,2057,1574,996,1316,2510,1393,395
9750,2061,1582,1000,1322,2517,1400,396
9775,2067,1587,1003,1332,2528,1403,396
