Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
6275,3454,0,3613,82,1408
6300,3454,0,3624,82,1408
6325,3454,0,3634,88,1408
6350,3454,0,3645,88,1408
6375,3454,0,3659,88,1408
6400,3454,0,3672,92,1484
6425,3454,0,3687,92,1484
6450,3454,0,3701,92,1484
6475,3454,0,3712,110,1484
6500,3454,0,3725,110,1484
6525,3454,0,3738,110,1484
6550,3454,0,3750,116,1484
6575,3454,0,3764,116,1484
6600,3604,0,3776,116,1484
6625,3604,0,3793,118,1484
6650,3604,0,3805,118,1484
6675,3604,0,3815,118,1484
6700,3604,0,3830,122,1484
6725,3604,0,3842,122,1484
6750,3604,0,3854,122,1484
6775,3604,0,3866,136,1484
6800,3604,0,3880,136,1484
6825,3604,0,3892,136,1484
6850,3604,0,3907,144,1560
6875,3604,0,3917,144,1560
6900,3604,0,3932,144,1560
6925,3604,0,3942,146,1560
6950,3604,0,3954,146,1560
6975,3604,0,3965,146,1560
7000,3604,0,3980,152,1560
7025,3604,0,3990,152,1560
7050,3604,0,3997,152,1560
7075,3604,0,4010,156,1560
7100,3604,0,4023,156,1560
7125,3604,0,4036,156,1560
7150,3604,0,4048,158,1560
7175,3604,0,4055,158,1560
7200,3604,0,4066,158,1560
7225,3604,0,4076,160,1560
7250,3604,0,4088,160,1560
7275,3604,0,4100,160,1560
7300,3604,0,4114,162,1560
7325,3604,0,4123,162,1560
7350,3754,0,4139,162,1560
7375,3754,0,4149,164,1560
7400,3754,0,4160,164,1560
7425,3754,0,4172,164,1560
7450,3754,0,4186,170,1560
7475,3754,0,4193,170,1560
7500,3754,0,4207,170,1560
7525,3754,0,4218,172,1560
7550,3754,0,4226,172,1560
7575,3754,0,4239,172,1560
7600,3754,0,4252,174,1636
7625,3754,0,4260,174,1636
7650,3754,0,4269,174,1636
7675,3754,0,4281,178,1636
7700,3754,0,4291,178,1636
7725,3754,0,4302,178,1636
7750,3754,0,4314,188,1636
7775,3754,0,4326,188,1636
7800,3754,0,4333,188,1636
7825,3754,0,4350,190,1636
7850,3754,0,4359,190,1636
7875,3754,0,4369,190,1636
7900,3754,0,4381,192,1636
7925,3754,0,4391,192,1636
7950,3754,0,4404,192,1636
7975,3754,0,4415,196,1636
8000,3754,0,4423,196,1636
8025,3754,0,4431,196,1636
8050,3904,0,4439,214,1636
8075,3904,0,4452,214,1636
8100,3904,0,4464,214,1636
8125,3904,0,4476,218,1636
8150,3904,0,4486,218,1636
8175,3904,0,4499,218,1636
8200,3904,0,4507,222,1636
8225,3904,0,4513,222,1636
8250,3904,0,4522,222,1636
8275,3904,0,4531,230,1636
8300,3904,0,4540,230,1636
8325,3904,0,4548,230,1636
8350,3904,0,4560,234,1636
8375,3904,0,4571,234,1636
8400,3904,0,4581,234,1636
8425,3904,0,4593,242,1712
8450,3904,0,4604,242,1712
8475,3904,0,4614,242,1712
8500,3904,0,4623,244,1712
8525,3904,0,4634,244,1712
8550,3904,0,4641,244,1712
8575,3904,0,4649,254,1712
8600,3904,0,4664,254,1712
8625,3904,0,4672,254,1712
8650,3904,0,4682,258,1712
8675,3904,0,4690,258,1712
8700,3904,0,4699,258,1712
8725,3904,0,4711,260,1712
8750,3904,0,4720,260,1712
8775,3904,0,4730,260,1712
8800,3904,0,4744,262,1712
8825,3904,0,4753,262,1712
8850,3904,0,4764,262,1712
8875,3904,0,4773,266,1712
8900,3904,0,4785,266,1712
