Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.05,NIndepLinUCB-alpha=0.01,NIndepLinUCB-alpha=0.3,NIndepLinUCB-alpha=0,NIndepLinUCB-alpha=1.5
12900,3410,0,0,0,0,0
12925,3410,0,0,0,0,0
12950,3410,0,0,0,0,0
12975,3410,0,0,0,0,0
13000,3410,0,0,0,0,0
13025,3410,0,0,0,0,0
13050,3410,0,0,0,0,0
13075,3410,0,0,0,0,0
13100,3410,0,0,0,0,0
13125,3410,0,0,0,0,0
13150,3524,0,0,0,0,0
13175,3524,0,0,0,0,0
13200,3524,0,0,0,0,0
13225,3524,0,0,0,0,0
13250,3524,0,0,0,0,0
13275,3524,0,0,0,0,0
13300,3524,0,0,0,0,0
13325,3524,0,0,0,0,0
13350,3524,0,0,0,0,0
13375,3524,0,0,0,0,0
13400,3524,0,0,0,0,0
13425,3524,0,0,0,0,0
13450,3524,0,0,0,0,0
13475,3524,0,0,0,0,0
13500,3524,0,0,0,0,0
13525,3524,0,0,0,0,0
13550,3524,0,0,0,0,0
13575,3524,0,0,0,0,0
13600,3524,0,0,0,0,0
13625,3524,0,0,0,0,0
13650,3524,0,0,0,0,0
13675,3524,0,0,0,0,0
13700,3524,0,0,0,0,0
13725,3524,0,0,0,0,0
13750,3524,0,0,0,0,0
13775,3524,0,0,0,0,0
13800,3524,0,0,0,0,0
13825,3524,0,0,0,0,0
13850,3524,0,0,0,0,0
13875,3524,0,0,0,0,0
13900,3524,0,0,0,0,0
13925,3524,0,0,0,0,0
13950,3524,0,0,0,0,0
13975,3524,0,0,0,0,0
14000,3524,0,0,0,0,0
14025,3524,0,0,0,0,0
14050,3524,0,0,0,0,0
14075,3524,0,0,0,0,0
14100,3524,0,0,0,0,0
14125,3524,0,0,0,0,0
14150,3524,0,0,0,0,0
14175,3524,0,0,0,0,0
14200,3524,0,0,0,0,0
14225,3524,0,0,0,0,0
14250,3524,0,0,0,0,0
14275,3524,0,0,0,0,0
14300,3524,0,0,0,0,0
14325,3524,0,0,0,0,0
14350,3524,0,0,0,0,0
14375,3524,0,0,0,0,0
14400,3524,0,0,0,0,0
14425,3524,0,0,0,0,0
14450,3524,0,0,0,0,0
