Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
10400,3182,0,4794,1088
10425,3182,0,4801,1088
10450,3182,0,4806,1090
10475,3182,0,4814,1090
10500,3182,0,4818,1098
10525,3182,0,4827,1098
10550,3182,0,4834,1100
10575,3182,0,4839,1100
10600,3182,0,4843,1100
10625,3182,0,4850,1112
10650,3296,0,4860,1112
10675,3296,0,4868,1118
10700,3296,0,4871,1118
10725,3296,0,4881,1122
10750,3296,0,4884,1122
10775,3296,0,4890,1124
10800,3296,0,4894,1124
10825,3296,0,4900,1124
10850,3296,0,4906,1126
10875,3296,0,4914,1126
10900,3296,0,4921,1144
10925,3296,0,4927,1144
10950,3296,0,4935,1156
10975,3296,0,4941,1156
11000,3296,0,4945,1156
11025,3296,0,4954,1160
11050,3296,0,4960,1160
11075,3296,0,4963,1162
11100,3296,0,4970,1162
11125,3296,0,4978,1164
11150,3296,0,4982,1164
11175,3296,0,4986,1184
11200,3296,0,4992,1184
11225,3296,0,4998,1184
11250,3296,0,5009,1186
11275,3296,0,5011,1186
11300,3296,0,5016,1206
11325,3296,0,5021,1206
11350,3296,0,5027,1224
11375,3296,0,5035,1224
11400,3296,0,5038,1224
11425,3296,0,5041,1226
11450,3296,0,5047,1226
11475,3296,0,5053,1240
11500,3296,0,5060,1240
11525,3296,0,5066,1242
11550,3296,0,5073,1242
11575,3296,0,5079,1256
11600,3296,0,5084,1256
11625,3296,0,5088,1256
11650,3296,0,5095,1280
11675,3296,0,5103,1280
11700,3296,0,5106,1290
11725,3296,0,5113,1290
11750,3296,0,5118,1300
11775,3296,0,5122,1300
11800,3296,0,5126,1306
11825,3296,0,5130,1306
11850,3296,0,5137,1306
11875,3296,0,5141,1312
11900,3296,0,5144,1312
11925,3296,0,5149,1314
11950,3410,0,5156,1314
11975,3410,0,5163,1324
12000,3410,0,5170,1324
12025,3410,0,5180,1324
12050,3410,0,5185,1326
12075,3410,0,5189,1326
12100,3410,0,5198,1336
12125,3410,0,5203,1336
12150,3410,0,5206,1338
12175,3410,0,5212,1338
12200,3410,0,5216,1342
12225,3410,0,5220,1342
12250,3410,0,5224,1342
12275,3410,0,5230,1344
12300,3410,0,5234,1344
12325,3410,0,5240,1346
12350,3410,0,5246,1346
12375,3410,0,5254,1356
12400,3410,0,5262,1356
12425,3410,0,5267,1356
12450,3410,0,5271,1362
12475,3410,0,5274,1362
12500,3410,0,5278,1366
12525,3410,0,5282,1366
12550,3410,0,5289,1374
12575,3410,0,5293,1374
12600,3410,0,5295,1376
12625,3410,0,5298,1376
12650,3410,0,5305,1376
12675,3410,0,5312,1378
12700,3410,0,5317,1378
12725,3410,0,5325,1384
12750,3410,0,5328,1384
12775,3410,0,5337,1388
12800,3410,0,5341,1388
12825,3410,0,5343,1388
12850,3410,0,5347,1390
12875,3410,0,5356,1390
12900,3410,0,5360,1392
12925,3410,0,5363,1392
12950,3410,0,5368,1408
12975,3410,0,5374,1408
13000,3410,0,5378,1410
13025,3410,0,5382,1410
13050,3410,0,5387,1410
13075,3410,0,5392,1418
13100,3410,0,5397,1418
13125,3410,0,5402,1422
13150,3524,0,5409,1422
13175,3524,0,5416,1424
13200,3524,0,5421,1424
13225,3524,0,5427,1426
13250,3524,0,5431,1426
13275,3524,0,5436,1426
13300,3524,0,5440,1440
13325,3524,0,5445,1440
13350,3524,0,5450,1442
13375,3524,0,5452,1442
13400,3524,0,5454,1456
13425,3524,0,5460,1456
13450,3524,0,5467,1456
13475,3524,0,5473,1468
13500,3524,0,5480,1468
13525,3524,0,5485,1474
13550,3524,0,5491,1474
13575,3524,0,5496,1480
13600,3524,0,5500,1480
13625,3524,0,5504,1482
13650,3524,0,5512,1482
13675,3524,0,5515,1482
13700,3524,0,5522,1486
13725,3524,0,5525,1486
13750,3524,0,5529,1496
13775,3524,0,5532,1496
13800,3524,0,5537,1498
13825,3524,0,5540,1498
13850,3524,0,5543,1498
13875,3524,0,5549,1502
13900,3524,0,5555,1502
13925,3524,0,5558,1504
13950,3524,0,5564,1504
13975,3524,0,5570,1506
14000,3524,0,5575,1506
14025,3524,0,5576,1512
14050,3524,0,5583,1512
14075,3524,0,5587,1512
14100,3524,0,5593,1530
14125,3524,0,5600,1530
14150,3524,0,5602,1532
14175,3524,0,5606,1532
14200,3524,0,5611,1534
14225,3524,0,5616,1534
14250,3524,0,5621,1534
14275,3524,0,5624,1538
14300,3524,0,5629,1538
14325,3524,0,5633,1544
14350,3524,0,5637,1544
14375,3524,0,5644,1556
14400,3524,0,5650,1556
14425,3524,0,5652,1564
14450,3524,0,5655,1564
14475,3524,0,5658,1564
14500,3638,0,5666,1584
14525,3638,0,5668,1584
14550,3638,0,5675,1586
14575,3638,0,5678,1586
14600,3638,0,5685,1588
14625,3638,0,5690,1588
14650,3638,0,5694,1598
14675,3638,0,5698,1598
14700,3638,0,5701,1598
14725,3638,0,5706,1600
14750,3638,0,5711,1600
14775,3638,0,5716,1610
14800,3638,0,5721,1610
14825,3638,0,5726,1622
14850,3638,0,5732,1622
14875,3638,0,5736,1622
14900,3638,0,5740,1646
14925,3638,0,5746,1646
14950,3638,0,5751,1650
14975,3638,0,5755,1650
15000,3638,0,5763,1670
15025,3638,0,5766,1670
15050,3638,0,5771,1672
15075,3638,0,5774,1672
15100,3638,0,5779,1672
15125,3638,0,5784,1674
15150,3638,0,5791,1674
15175,3638,0,5793,1684
15200,3638,0,5797,1684
15225,3638,0,5801,1694
15250,3638,0,5805,1694
15275,3638,0,5809,1694
15300,3638,0,5814,1698
15325,3638,0,5822,1698
15350,3638,0,5827,1716
15375,3638,0,5829,1716
15400,3638,0,5833,1718
15425,3638,0,5840,1718
15450,3638,0,5843,1720
15475,3638,0,5847,1720
15500,3638,0,5853,1720
15525,3638,0,5855,1722
15550,3638,0,5861,1722
15575,3638,0,5866,1726
15600,3638,0,5869,1726
15625,3638,0,5873,1734
15650,3638,0,5882,1734
15675,3638,0,5885,1734
15700,3638,0,5888,1750
15725,3638,0,5891,1750
15750,3638,0,5895,1756
15775,3638,0,5897,1756
15800,3638,0,5901,1762
15825,3638,0,5905,1762
15850,3638,0,5909,1764
15875,3638,0,5913,1764
15900,3638,0,5919,1764
15925,3638,0,5923,1770
15950,3752,0,5929,1770
15975,3752,0,5934,1772
16000,3752,0,5938,1772
16025,3752,0,5940,1774
16050,3752,0,5946,1774
16075,3752,0,5950,1776
16100,3752,0,5955,1776
16125,3752,0,5959,1776
16150,3752,0,5962,1778
16175,3752,0,5965,1778
16200,3752,0,5971,1784
16225,3752,0,5976,1784
16250,3752,0,5980,1788
16275,3752,0,5983,1788
16300,3752,0,5987,1788
16325,3752,0,5991,1800
16350,3752,0,5994,1800
16375,3752,0,5997,1810
16400,3752,0,6000,1810
16425,3752,0,6000,1812
16450,3752,0,6000,1812
16475,3752,0,6000,1826
16500,3752,0,6002,1826
16525,3752,0,6003,1826
16550,3752,0,6005,1828
16575,3752,0,6007,1828
16600,3752,0,6013,1842
16625,3752,0,6019,1842
16650,3752,0,6022,1846
16675,3752,0,6024,1846
16700,3752,0,6026,1846
16725,3752,0,6030,1848
16750,3752,0,6034,1848
16775,3752,0,6040,1858
16800,3752,0,6044,1858
16825,3752,0,6046,1866
16850,3752,0,6054,1866
16875,3752,0,6058,1870
16900,3752,0,6061,1870
16925,3752,0,6063,1870
16950,3752,0,6068,1870
16975,3752,0,6071,1870
17000,3752,0,6075,1872
17025,3752,0,6078,1872
17050,3752,0,6081,1872
17075,3752,0,6083,1872
17100,3752,0,6087,1872
17125,3752,0,6094,1874
17150,3752,0,6099,1874
17175,3752,0,6103,1876
17200,3752,0,6106,1876
17225,3752,0,6107,1878
17250,3752,0,6112,1878
17275,3752,0,6116,1898
17300,3752,0,6118,1898
17325,3752,0,6125,1898
17350,3752,0,6126,1908
17375,3752,0,6130,1908
17400,3752,0,6133,1914
17425,3752,0,6136,1914
17450,3752,0,6142,1924
17475,3752,0,6148,1924
17500,3752,0,6153,1932
17525,3866,0,6157,1932
17550,3866,0,6160,1932
17575,3866,0,6165,1936
17600,3866,0,6167,1936
17625,3866,0,6171,1938
17650,3866,0,6172,1938
17675,3866,0,6180,1958
17700,3866,0,6184,1958
