Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
7700,3132,1676,1035,1111,2352,310
7725,3143,1684,1041,1119,2363,311
7750,3154,1694,1048,1131,2374,312
7775,3160,1702,1052,1135,2383,313
7800,3165,1713,1059,1145,2392,313
7825,3172,1724,1066,1153,2402,314
7850,3182,1729,1069,1160,2405,314
7875,3193,1737,1076,1167,2415,316
7900,3202,1746,1079,1176,2423,319
7925,3209,1753,1082,1183,2428,319
7950,3219,1759,1087,1191,2435,319
7975,3228,1771,1094,1200,2443,320
8000,3239,1779,1101,1213,2452,322
8025,3247,1793,1107,1225,2464,323
8050,3256,1803,1114,1235,2475,325
8075,3262,1808,1117,1247,2483,326
8100,3270,1814,1121,1254,2491,326
8125,3279,1822,1125,1264,2500,327
8150,3289,1827,1131,1273,2511,329
8175,3297,1836,1138,1281,2519,331
8200,3304,1842,1140,1289,2531,331
8225,3316,1849,1143,1299,2540,333
8250,3321,1858,1148,1308,2549,333
8275,3332,1867,1154,1319,2559,334
8300,3342,1877,1161,1328,2571,334
8325,3347,1886,1166,1335,2577,334
8350,3352,1893,1167,1342,2581,338
8375,3361,1902,1174,1352,2588,339
8400,3371,1913,1178,1366,2602,339
8425,3380,1923,1185,1377,2612,340
8450,3386,1929,1192,1382,2617,340
8475,3395,1935,1195,1386,2626,343
8500,3399,1945,1198,1395,2634,344
8525,3408,1957,1208,1408,2646,345
8550,3413,1965,1210,1417,2653,346
8575,3421,1971,1216,1425,2662,347
8600,3427,1975,1218,1433,2673,348
8625,3434,1980,1221,1444,2678,349
8650,3441,1985,1223,1455,2685,350
8675,3451,1996,1230,1463,2690,352
8700,3455,2003,1236,1475,2702,353
8725,3463,2010,1239,1485,2708,355
8750,3467,2019,1244,1496,2720,355
8775,3473,2028,1249,1504,2730,356
8800,3480,2036,1251,1510,2737,358
8825,3487,2041,1255,1519,2744,358
8850,3497,2051,1260,1536,2754,360
8875,3505,2056,1264,1542,2760,360
8900,3512,2063,1265,1548,2765,361
8925,3520,2076,1272,1560,2777,361
8950,3523,2083,1277,1567,2781,363
8975,3536,2091,1281,1577,2791,364
9000,3541,2103,1292,1586,2804,365
9025,3547,2112,1295,1593,2812,366
9050,3551,2119,1300,1601,2820,368
9075,3558,2133,1309,1614,2830,368
